"ID","Imagen","Codidgo","Nombre","Tipo","Categoria","Cantidad","Impuesto","Metodo","Costo","Precio"
"679","","192857123435","Gorra curva new era los yankees color rojo logo blanco","Standard","General","0.00","0","Inclusivo","153.45","279.00"
"678","","197214821740","Gorra curva new era Los Angeles salón logo celeste","Standard","General","0.00","0","Inclusivo","191.95","315.00"
"677","","196998649182","Gorra New era los Yankees color café logo beige","Standard","General","0.00","0","Inclusivo","153.45","279.00"
"676","","196998649267","Gorra new era azul Los Angeles azul con logo amarillo","Standard","General","0.00","0","Inclusivo","153.45","279.00"
"675","","192857097590","Gorra new era Boston color kaki logo rojo","Standard","General","0.00","0","Inclusivo","153.45","279.00"
"674","","192093992734","Gorra new era azul Los Angeles azul logo blanco con mayas","Standard","General","0.00","0","Inclusivo","153.45","279.00"
"673","","196998649205","Gorra New era verde yankees logo amarillo","Standard","General","0.00","0","Inclusivo","153.45","279.00"
"672","","194877265294","Camisa Levis polo color rojo talla L","Standard","General","0.00","0","Inclusivo","222.87","325.00"
"671","","194877204170","Camisa Levis polo color rojo talla m","Standard","General","0.00","0","Inclusivo","222.87","325.00"
"670","","194877265287","Camisa Levis polo color rojo talla s","Standard","General","2.00","0","Inclusivo","222.87","325.00"
"669","","197021638227","Camisa Levis polo color blanco talla m","Standard","General","0.00","0","Inclusivo","222.87","325.00"
"668","","197021638234","Camisa Levis polo color blanco talla s","Standard","General","0.00","0","Inclusivo","222.87","325.00"
"667","","197021640008","Camisa Levis polo color verde talla L","Standard","General","0.00","0","Inclusivo","222.87","325.00"
"666","","197021640015","Camisa Levis polo color verde talla m","Standard","General","0.00","0","Inclusivo","222.87","325.00"
"665","","197021640022","Camisa Levis polo color verde talla s","Standard","General","2.00","0","Inclusivo","222.87","325.00"
"664","","196630891528","Camisa Levis polo verde agua talla L","Standard","General","0.00","0","Inclusivo","222.87","325.00"
"663","","196630891535","Camisa Levis polo verde agua talla m","Standard","General","0.00","0","Inclusivo","222.87","325.00"
"662","","196630891542","Camisa Levis polo verde agua talla s","Standard","General","0.00","0","Inclusivo","222.87","325.00"
"661","","194877266192","Camisa levis polo azul marino talla L","Standard","General","0.00","0","Inclusivo","222.87","325.00"
"660","","194877204819","Camisa levis polo azul marino talla m","Standard","General","0.00","0","Inclusivo","222.87","325.00"
"659","","194877266185","Camisa levis polo azul marino talla s","Standard","General","0.00","0","Inclusivo","222.87","325.00"
"658","","197021629331","Shirt Levis turquesa con letras celeste talla L","Standard","General","0.00","0","Inclusivo","173.59","290.00"
"657","","197021629348","Shirt Levis turquesa con letras celeste talla m","Standard","General","0.00","0","Inclusivo","173.59","290.00"
"656","","197021629355","Shirt Levis turquesa con letras celeste talla s","Standard","General","1.00","0","Inclusivo","173.59","290.00"
"655","","197021877770","Shirt Levis azul letras verde agua talla L","Standard","General","0.00","0","Inclusivo","173.59","290.00"
"654","","197021877787","Shirt Levis azul letras verde agua talla m","Standard","General","0.00","0","Inclusivo","173.59","290.00"
